title,salary,location,employer,employer_rating,summary,search_city,search_role
Graduate Business Intelligence Analyst - The Regenda Group,"£20,000 - £23,000 a year",Liverpool L1 5AY,Regenda Group,2.5,"You will play an integral role in shaping our data management and reporting systems, to help drive data driven decisions that help solve business critical…",Liverpool,data analyst
Business Analyst (Ref: Pr2037),"£45,000 - £50,000 a year",Liverpool,Projentum,,"Expanding social housing organisation that are pursuing a major change agenda, which includes significant upgrades and enhancements to core systems and business…",Liverpool,data analyst
Data Analyst,"£19,800 - £23,000 a year",Chester,Adele Carr Recruitment,,"Interrogating warehouse data for accuracy.
Analysing various data sets to highlight key trends and issues.
Loading of various data sources that sit outside an…",Liverpool,data analyst
Business Analyst,"£30,000 - £35,000 a year",Liverpool,BYDAND RECRUITMENT SERVICES,,Previous Experience: Proven experience of business analysis practices; proficient in MS Word and MS Excel; project experience; experience of process mapping and…,Liverpool,data analyst
Data Analyst,"£30,000 - £37,500 a year",Winsford North and East CW7 3RB•Temporarily Remote,InHealth,3.1,"Understanding of database systems, data models, data structures, and data quality metrics.
Support the validation of reference data and patient data load…",Liverpool,data analyst
Senior Data Analyst,"£70,000 - £80,000 a year",England,Metrica Recruitment,,"Python experience of transforming data and building data pipelines.
Work with the team to understand their requirements, gather the data, clean the data, and…",Liverpool,data analyst
Information Analyst,"£25,655 - £31,534 a year",Bolton BL6 6PQ,North West Ambulance Service NHS Trust,2.9,"Within the Service the Business Intelligence function is a progressive and rapidly changing environment, in which the capabilities of the staff are being…",Liverpool,data analyst
Itil Analyst,,Chester,Bank of America,3.8,"Excellent reporting and data analysis skills.
Liaise with customers and stakeholders to ensure service is restored in a timely manner.",Liverpool,data analyst
Operations Business Analyst – Client Servicing Programmes,,Liverpool,Investec,4.2,Investec Wealth & Investment seeks to deliver exceptional levels of customer service and has been trusted to meet the needs of private investors for almost 200…,Liverpool,data analyst
Business Analyst,"£33,839 a year",Birkenhead,HM Land Registry,3.7,"Experience of requirements elicitation and definition, including modelling techniques (business/process/data).
HMLR - Digital, Data and Technology.",Liverpool,data analyst
Marketing Data And Insight Analyst,"£29,500 - £37,000 a year",Chester•Remote,Sykes Cottages,3.3,"Implement best practice for analytics and data management in compliance with relevant data regulations.
Extract data from the internal business database for…",Liverpool,data analyst
Business Data Analyst,,Chorley•Temporarily Remote,TVS Supply Chain Solutions,3.0,The data analyst and modelling will be of a quality that will support the production of solutions that add value to potential customers.,Liverpool,data analyst
Senior Bi Analyst,"£60,000 - £70,000 a year",England,Metrica Recruitment,,"SQL experience of querying data and building data pipelines.
Extensive data visualisation experience with Tableau.
Strong communication and presentation skills.",Liverpool,data analyst
,"£30,000 - £40,000 a year",Chorley PR7 7NA,Speed Medical,2.9,"At least 5 years’ experience as a data analyst for a large commercial organisation.
In depth data analysis and presentation to senior management.",Liverpool,data analyst
"Senior Information Analyst, Odu","£32,306 - £39,027 a year",St. Asaph LL17 0RS,Welsh Ambulance Service NHS Trust,3.3,"The Senior Information Analyst is responsible for the production of timely, accurate and intelligent business intelligence and information to inform the…",Liverpool,data analyst
Senior Data Scientist,,Liverpool,EPAM Systems,3.8,"Provide unique insights from large volumes of data.
Tell stories back to the business through stunning data visualisation.
Work with version control systems.",Liverpool,data scientist
Data And Analytics Technology Consultant (Gcp),,Liverpool,EPAM Systems,3.8,This position requires a strong Data/GCP technical consulting background with the ability to assist clients in defining their overall technology strategy and…,Liverpool,data scientist
Senior Data Scientist,,Liverpool,The Very Group,3.9,"We are looking for a senior data scientist who designed and implemented end to end forecasting workflow in the past.
Proactively trying to solve blockers.",Liverpool,data scientist
Computational Scientist In Extreme Scale Computing And Ai,"£31,931 - £34,709 a year",Warrington,Science and Technology Facilities Council (STFC),3.9,"Learning and applying HPC, data centric, analytics and AI technologies.
The continuing success of the Hartree Centre means we are looking to recruit hardworking…",Liverpool,data scientist
Graduate Computer/Data Scientist,,Birchwood,Jacobs,3.9,"On-the-job training, with opportunities to develop wider technical and project delivery skills by working alongside experienced professionals.",Liverpool,data scientist
,"From £33,000 a year",Chester CH4 9QR•Remote,Firstdot UK Ltd,,"Perform, plan and co-ordinate the following for complex studies: (i) the programming, testing, and documentation of statistical programs for use in creating…",Liverpool,data scientist
,"Up to £78,000 a year",Central and Westminster•Remote,Air Recruitment,,"Effective at managing big data projects.
Strong familiarity with data science and key machine learning techniques.
Job Types: Full-time, Permanent.",Liverpool,data scientist
Business Analyst And Programme Manager,"£31,346 - £33,782 a year",Bootle L30 4YD,Merseyside Fire and Rescue Service,4.1,"Lead on projects and develop full-scale supporting project plans.
Undertake research and make recommendations on bought-in software applications and services.",Liverpool,data analyst
