title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst - Sanger Sequencing,,Takeley,"GENEWIZ, Inc.",,"Review and release of Sanger sequencing data from the laboratory according to our quality standards.
Advising customers on our Sanger sequencing products and…",Cambridge,data analyst
,,Stevenage,Airbus,4.2,"Works with business analysts and IT teams to identify what data are available and relevant, including internal and external data sources, to support application…",Cambridge,data analyst
Senior Data Analyst,"£70,000 - £80,000 a year",England,Metrica Recruitment,,"Python experience of transforming data and building data pipelines.
Work with the team to understand their requirements, gather the data, clean the data, and…",Cambridge,data analyst
,,Huntingdon,Mindray,3.4,"Identify innovative workflow efficiencies and propose improvements to enhance data quality and timeliness.
*Background in a data analysis, commercial data, BI…",Cambridge,data analyst
,£500 - £600 a day,England•Remote,Robert Half,3.9,"Working with internal teams to identify who owns the data/code and how to remediate.
Follow up user ID data security breaches (breaches in ID credentials in…",Cambridge,data analyst
Business Process Analyst,"£48,000 - £52,000 a year",Saint Neots PE19•Temporarily Remote,Lifeplus Europe,3.4,"Reporting into the Lead Analyst within the PMO team, this role forms part of a small team managing improvements across the business.",Cambridge,data analyst
,"£32,000 - £40,000 a year",England•Remote,Robert Half,3.9,"Assist in maintaining the data warehouse.
Assist in maintaining data mapping protocols and structure.
Take responsibility for the loading of data via Azure Data…",Cambridge,data analyst
"Senior Infrastructure Analyst: Defence, Security And Infrast...",,Cambridge CB4,RAND Europe,,"You can conduct research using additional software and technical skills (e.g. data analytics, statistical software, data visualisation, etc.).",Cambridge,data analyst
"Epsrc Icase Studentship - Manufacturing Data Capture, Data A...",,Cambridge,University of Cambridge,4.1,"The studentship aim is to investigate the data capture, data analysis and AI systems Siemens Energy require to support their development of product based…",Cambridge,data analyst
Data Analyst (Mid- Senior),"£40,000 a year",Cambridge,Interfolio,,"Develop an in depth understanding of the data model for the Researchfish system, its broader data set, and available tools.",Cambridge,data analyst
Business Data Analyst,,Cambridge•Remote,Checkit,,"Understanding of SQL and Data warehouses, including the ability to run simple queries and understand the types of data structures used in a data warehouse.",Cambridge,data analyst
Business Data Analyst,,Hitchin,Fortem Solutions Ltd,2.8,Essential: • Attention to detail • Ability to prioritise and re-prioritise as required • Self-starter • Able to work as part of a team • Full driving licence •…,Cambridge,data analyst
Associate Principal Data Scientist In Functional Genomics,,Cambridge CB4 0FZ,AstraZeneca,4.1,"Collaborate effectively with multi-disciplinary colleagues and other data scientists (bioinformaticians, image analysts, statisticians) to manage and analyse…",Cambridge,data scientist
Internship Opportunities: Causal Machine Learning Research,,Cambridge,Microsoft,4.2,"You will have the opportunity to collaborate with researchers and engineers in Microsoft research Cambridge, UK, and interact with researchers and engineers…",Cambridge,data scientist
Machine Learning Graduate,,Cambridge,Speechmatics,,"At Speechmatics, we can offer you experience at writing production ML pipelines, training neural networks in Pytorch, all whilst adding to your CV academically;…",Cambridge,data scientist
Internship Opportunities: Deep Learning -Machine Intelligenc...,,Cambridge,Microsoft,4.2,"Neural networks applicable to graph-structured data such as molecules.
Probabilistic deep learning: Bayesian deep learning, uncertainty quantification, and…",Cambridge,data scientist
Reliability Data Scientist,,Cambridge CB4 0WH,PragmatIC,,"Experience with statistical methods, exploratory data analysis, reshaping and visualizing complex data sets.
Reporting to the R&D Director, the Reliability Data…",Cambridge,data scientist
