title,salary,location,employer,employer_rating,summary,search_city,search_role
Pricing Data Analyst,"£30,000 - £36,000 a year",Manchester M60 0AG,Coop,3.4,"Experience of data analysis, data modelling and data reporting.
Strong Excel and data analysis skills.
Provide accurate data analysis to senior managers and the…",Manchester,data analyst
Mi Data Analyst With Power Bi,,Salford Quays,Bupa,3.3,"Working knowledge of Power BI and data visualisation skills, with good data mining, numerical and analytical ability, to understand, calculate and evaluate data…",Manchester,data analyst
Junior Data Analyst,"£25,000 a year",Manchester,Dovestone Technology Solutions,,"With this role, there is also a strong development pathway, with many previous junior’s progressing up the ranks to become a senior analyst or transitioning…",Manchester,data analyst
Data Analyst,,Manchester+1 location•Temporarily Remote,On the Beach,3.5,"Strong technical skills regarding data analysis and statistics.
Understanding data and providing ad hoc analysis from our primary web analytics tool, Google…",Manchester,data analyst
Business Insights & Analytics Analyst,,Manchester M1 3BN,Barclays,3.9,"Previous experience with statistics, math or data science.
Undertaking diagnostic activities to assess business requirements e.g. interviews, data collections…",Manchester,data analyst
,"£18,000 - £24,000 a year",Manchester,Restore,3.4,"Experience of data collation and trend analysis.
Analyse and interpret data to ensure a high level of accuracy.
Contract Type: Permanent - Full Time*.",Manchester,data analyst
Senior Data Analyst,,Manchester M1 3BN,Barclays,3.9,"Using data to understand customer journeys within Digital First Operations.
Sharing accurate data to support business stakeholders and meet regulatory…",Manchester,data analyst
Gis Data Analyst,,Manchester,Kalibrate,,"Statistical Analysis Skills such as Analyse/interpreting data and presenting results using established methods, evaluating of coverage and accuracy of data,…",Manchester,data analyst
Reconciliation And Reporting Analyst,,Manchester M1 3BN,Barclays,3.9,"Experience of data reporting design and specification, MI and reconciliation.
Liaising with stakeholders to drive the documentation of business requirements,…",Manchester,data analyst
,"£25,000 a year",Manchester•Remote,Touch Medical Media Services,,"Liaise with external partners who provide the raw data for analysis.
An innovative thinker who can identify the next steps to advance their work.",Manchester,data analyst
Data Scientist - Naimuri,,Manchester•Remote,QinetiQ,3.7,"You will work closely with customers, other data scientists, data architects and engineers, software developers and testers to:",Manchester,data scientist
,"£42,139 - £59,210 a year",Manchester•Temporarily Remote,Government Communications Headquarters (GCHQ),4.3,"A thorough understanding of exploratory data analysis, statistical reasoning, communicating about data, and data-driven decision making.",Manchester,data scientist
,"£25,000 - £30,000 a year",Manchester,Burns Sheehan,,You've built and implemented statistical models and you have ideas of where data science could be used to gain insight and yield significant uplifts in…,Manchester,data scientist
,,Manchester M1,Peak AI,,"Familiarity with one or some of - statistical modelling, machine learning, data mining, unstructured data analytics, natural language processing.",Manchester,data scientist
Data Scientist,,Manchester M2 4EW,Acuant Inc,,"Identify new predictive insights and features from a variety of data sources (3rd party providers, social and client data, etc.).",Manchester,data scientist
,,Manchester,INRIX,3.6,"Build data-driven products to enhance our.
Understanding of how to create effective visualisations from data.
Experience accessing and processing structured and…",Manchester,data scientist
Data Scientist,"£50,000 a year",Bolton,Axa,3.9,"This programme is designed to embed data-driven, intelligence-led decision-making into the culture and way of working in Claims to develop the Claims data asset…",Manchester,data scientist
Data Scientist,"£55,000 a year",Manchester M60,N Brown,2.9,"Contribute to an open, progressive and passionate data community.
Critically, a passion to do amazing things with data science in a collaborative environment.",Manchester,data scientist
Business Insights & Analytics Analyst,,Manchester M1 3BN,Barclays,3.9,"Previous experience with statistics, math or data science.
Undertaking diagnostic activities to assess business requirements e.g. interviews, data collections…",Manchester,data scientist
Senior Research Data Scientist,,Manchester,dunnhumby,3.8,"Basic coding skill and practical data analysis skills using e.g. Excel, R, Python.
Using big data, deep expertise and AI-driven platforms to decode the 21st…",Manchester,data scientist
Machine Learning Associate,,Manchester•Temporarily Remote,Cloud Imperium Games,,"Drive data collection and predictions while applying latest research and data techniques.
Integrate Machine Learning applications, toolkits libraries and…",Manchester,data scientist
,"£47,126 - £53,219 a year",Wythenshawe,Manchester University NHS Foundation Trust,3.1,"Capturing data from disparate systems and ensuring its integrity will be a key challenge.
In this senior role, you will drive the development and ongoing…",Manchester,data scientist
Data Scientist,,Manchester,Aldermore,,"Strong attention to detail regarding data, data quality and scripting to ensure robust and grounded recommendations are made.",Manchester,data scientist
Lectureship In Data Science And Earth And Environmental Anal...,"£42,149 - £51,799 a year",Manchester M13 9PL,The University of Manchester,4.2,"This includes a demonstrable understanding of core concepts in traditional and emerging machine learning, general computing and broader data science skillsets…",Manchester,data scientist
Decision Scientist,"£30,000 a year",Manchester M60,N Brown,2.9,"Being a data expert across multiple projects, assuring the quality of data used.
Building and integrate data analytics products.",Manchester,data scientist
Data Analyst,,Manchester M3•Remote,cinch cars Ltd,5.0,"You’ll use your experience and expertise to build out our intelligence-led, data-informed ethos, providing best-in-class data analytics to support our tribes…",Manchester,data analyst
,,Urmston M41 7RR,DARE2b,,"A strong experience using a variety of data analysis methods, data tools, ideally within a clothing Company.
You will work with cross functional teams in order…",Manchester,data analyst
Graduate Data Analyst,"£23,000 - £26,000 a year",North West•Remote,Graduate Recruitment Bureau,4.9,"Analysing data using various software (training will be provided).
They are looking for a graduate analyst to provide strategic recommendations based on insight…",Manchester,data analyst
,"From £25,000 a year",Stockport SK1 3SW•Temporarily Remote,musicMagpie,3.6,Work with behavioural researchers using tools such as Contentsquare and help to link musicMagpie’s various research tools together to improve the quality of…,Manchester,data analyst
,"£40,000 - £45,000 a year",Manchester•Remote,Newtons Recruitment,,"Support, motivate & develop students / data analysts.
Deliver online 1-1 coaching sessions.
Picture a job role where you can pass on your skills, knowledge &…",Manchester,data analyst
Business Analyst – Data Transformation,,Knutsford WA16 9EU,Barclays,3.9,Optimising and creating efficiencies in the processing of data today to ensure consistent consumption by business stakeholders and improved data quality.,Manchester,data analyst
Data Analyst - Myprotein,,Manchester,THG,3.6,You will be responsible for driving actionable business insights through data whilst managing data driven projects across the trading & marketing teams.,Manchester,data analyst
Senior Data Analyst - Editorial Analytics,,Salford M50 2EQ,BBC,4.2,"Be passionate about presenting data in new and interesting ways, using data visualisation tools such as Tableau.",Manchester,data analyst
Business Analyst Apprentice,"£22,950 - £29,835 a year",Halifax,Lloyds Banking Group,3.8,"We’re looking for innovative problem solvers, team players and people with an eye for detail who are keen to make an impact within banking and financial…",Manchester,data analyst
2022 Operations Campus Analyst Programme - Emea,,Manchester,BNY Mellon,3.5,"OCAP provides analysts with targeted on-the-job training designed to build knowledge, expertise and soft-skills to help grow a successful candidate into a…",Manchester,data analyst
Risk Analyst,"£30,000 - £40,000 a year",Manchester M12 6JH,Car Finance 247,3.0,"Prioritise and manage own workload in a fast-paced environment.
Our Risk Analyst will be responsible for coordinating the first line risk and control activity…",Manchester,data analyst
Hr Data Analyst,,Manchester,Lonza,3.5,"Analyze data using statistical methods.
Ability to generate data-driven insights.
Strong knowledge of HR data and Workforce Analytics.",Manchester,data analyst
Data Analyst,"£30,000 - £37,500 a year",Winsford North and East CW7 3RB•Temporarily Remote,InHealth,3.1,"Understanding of database systems, data models, data structures, and data quality metrics.
Support the validation of reference data and patient data load…",Manchester,data analyst
Trainee Data Analyst,"£24,000 - £26,000 a year",Manchester,Platinum Financial Recruitment,3.7,This is the ideal opportunity for you if you have 6-12 months experience in a data analytical role or have been working in an office-based position but have a…,Manchester,data analyst
,"£47,100 a year",Bolton BL5 1EE•Remote,Aldi,3.3,"This fast paced and exciting role delivers information to the entire ALDI business by ensuring high data quality, delivered in informative and creative reports.",Manchester,data analyst
Principal Data Scientist,"£47,126 - £53,219 a year",Wigan WN1 1XX,"Wrightington, Wigan and Leigh Teaching Hospitals...",,You will be a Data Champion – advocating the importance of leveraging data to deliver the highest quality of care for our patients.,Manchester,data scientist
,"£65,000 a year",Manchester•Temporarily Remote,Adria Solutions,,"Strong experience working within the data science field.
The Senior Data Scientist will have the following:
Experience programming in Python and SQL.",Manchester,data scientist
Data Scientist,,Stockport,CGA Strategy Ltd,4.2,"Create innovative solutions and maintain ongoing data exploratory analyses against internal and client-provided data to derive insights for custom projects,…",Manchester,data scientist
Data Analytics Engineer,,Manchester M3,Wejo,3.4,"Cleansing the data received to identify and investigate and erroneous data collection.
Check data quality control standards.",Manchester,data scientist
Lecturer In Mathematics Of Data Science,"£42,149 - £51,799 a year",Manchester M13 9PL,The University of Manchester,4.2,This post forms part of the larger recruitment of ten data science posts across the University during 2021-22 to grow the existing vibrant staff team.,Manchester,data scientist
"Consultant, Artificial Intelligence Engineer, Data & Analyti...",,Manchester,Deloitte,4.0,The role sits within Deloitte’s Data & Analytics Modernisation’s Machine Learning & Data Engineering team which is a group of data scientists and hybrid AI…,Manchester,data scientist
Senior Data Scientist,,Manchester+1 location•Temporarily Remote,On the Beach,3.5,"3+ years of experience working within the data science field.
Whether leveraging real-time analytics to drive decision making, propensity modelling, optimising…",Manchester,data scientist
