title,salary,location,employer,employer_rating,summary,search_city,search_role
Business System Analyst,,"Everett, WA 98204 (Holly area)•Remote work available",Collins Aerospace,3.7,Comprehensive knowledge of excel visual basics to manage and modify existing electronic data interchanges between excel and MRP for mass data uploads.,Seattle,data analyst
Digital Marketing Analyst,,"Seattle, WA","Brooks Sports, Inc",3.8,"Experience pulling, aggregating and manipulating data.
Validate analyses, reports, and underlying data, and collaborate with agencies to resolve any reporting…",Seattle,data analyst
Senior Data Analyst (Remote),,"Seattle, WA 98121 (Belltown area)•Remote",Advisor Group,3.6,"2 to 5 years of reporting or data analytics experience.
The Sr. Data Analyst on the Regulatory Relations team is primarily responsible for producing data and…",Seattle,data analyst
Business Intelligence Consultant,,"Seattle, WA 98104 (Downtown area)",Slalom Consulting,3.7,"Four plus years of business intelligence, data visualization, consulting, or data engineering experience.
Design transformative data solutions by focusing on…",Seattle,data analyst
Senior Data Analyst,,"Bothell, WA",Seagen,3.7,"Assist with continuous improvement of data management, resolve master data issues, link master data between systems and ensure quality, compliance, and…",Seattle,data scientist
Data Science Lead - North America,,"Seattle, WA 98101 (Downtown area)",Acceleration,,"Demonstrated experience with the following: machine learning, data mining, computational analytics/optimization, application development, data mining,…",Seattle,data scientist
Statistical Programmer Ii,,"Bothell, WA+1 location",Seagen,3.7,"Review and provide feedback on deliverables from other clinical groups including but not limited to statistical analysis plans; table, listing, and figure…",Seattle,data scientist
Senior Data Analyst (Looker),,"Seattle, WA+1 location",EPAM Systems,3.8,Create ETL packages and scripts to extract and load data into a data warehouse using Google internal workflow engines to meet the business data needs.,Seattle,data scientist
Applied Ml Engineer,,"Redmond, WA 98052 (Overlake area)",Microsoft,4.2,"Work with other machine learning engineers and data scientists to develop machine learning systems for detecting anomalies, compromise, intrusion, fraud, and…",Seattle,data scientist
"Ai/Ml - Frontend Engineer, Ml Engineering Efficiency",,"Seattle, WA+1 location",Apple,4.2,"A good design sense and a good understanding of data visualization concepts.
5+ years of experience developing, testing, and maintaining rich web experiences…",Seattle,data scientist
,,"Bellevue, WA 98004 (Downtown area)",Salesforce,4.3,This role involves dreaming up and defining the machine and deep learning technology roadmap that we will productize through our APIs and integrations with…,Seattle,data scientist
Software Engineering Manager - Machine Learning,,"Seattle, WA+5 locations",Facebook App,4.1,"Lead teams that deliver on multiple projects of increasing dependencies in an ambiguous or high-impact area.
Drive roadmap creation and execution.",Seattle,data scientist
Principal Product Manager - Decision Science,,"Bellevue, WA+7 locations",Amazon.com Services LLC,3.5,"We work on many products spanning a wide range of business needs and scientific models, so willingness and ability to learn new things and help the organization…",Seattle,data scientist
"Data Engineer, Analytics & Cognitive - Consultant (Sql/Pytho...",,"Seattle, WA 98104 (Downtown area)+1 location",Deloitte,4.0,"Drive operational efficiency by maintaining their data ecosystems, sourcing analytics expertise and providing As-a-Service offerings for continuous insights and…",Seattle,data scientist
