title,salary,location,employer,employer_rating,summary,search_city,search_role
,,"Calgary, AB",AltaGas,3.5,"Gather, send and/or upload required Measurement volumetric data for data consumers.
Create/maintain/update all data managed in the Measurement Validation…",Calgary,data_analyst
Data Analyst,,"Calgary, AB",Pipecare Group,,"Processing in-line inspection data sets utilizing propriety software.
Assessing the quality of the data set to ensure established performance specifications are…",Calgary,data_analyst
,,"Calgary, AB•Temporarily Remote",Alberta Energy Regulator,3.5,"Conduct data queries to obtain relevant methane data from AER’s data management systems.
May be required to pursue external methane data.",Calgary,data_analyst
Trading Operations Analyst Student,,"Calgary, AB",ExxonMobil,3.9,"You will be directly involved in building and supporting digital solutions and piloting analytic projects that supports Traders, analysts through stand-alone…",Calgary,data_analyst
2022 Summer Internship – Energy & Natural Resources – Ghg Re...,,"Calgary, AB",IHS Markit,3.6,"A passion for discovering solutions hidden in large data sets.
Use Business Intelligence tools such as PowerBI and SpotFire to assemble and interrogate data.",Calgary,data_analyst
"Analyst, Corporate Strategy",,"Calgary, AB•Remote",EY,4.0,"Independently perform primary and secondary research including data gathering, interviews, and surveys.
Market entry strategy and opportunity sizing.",Calgary,data_analyst
,,"Calgary, AB",Crescent Point Energy,3.9,"3 - 5 years of experience as a security analyst, or similar.
Work with SIEM technologies to ingest new data sources, run advanced correlation processes, create…",Calgary,data_analyst
Junior Accounting Analyst - Associate,,"Calgary, AB•Remote",EY,4.0,"The Accounting Analyst Associate performs various accounting activities, including reconciliation and analysis of general ledger accounts, preparation of…",Calgary,data_analyst
,,"Calgary, AB",Ovintiv,4.0,"Attention to detail with the ability to research transactional data for inconsistencies, errors, and reporting.
Travel to Canada sites will be required.",Calgary,data_analyst
Project Control Analyst,,"Calgary, AB•Temporarily Remote",Enmax,,"Ability to interpret complex data through analysis and provide recommendations.
This role will develop and interpret complex data and reports including budget…",Calgary,data_analyst
Data Scientist,,"Calgary, AB•Remote",MobSquad,,You are familiar with designing experiments and collecting data for the purpose of deriving data analytics insights and solutions.,Calgary,data_scientist
