title,salary,location,employer,employer_rating,summary,search_city,search_role
Data Analyst,,"San Francisco, CA•Remote",Commonstock,,"You love maintaining quality data sets and ensuring accuracy.
2+ years of experience manipulating data sets and experience with Excel, SQL, etc.",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA 94121 (Outer Richmond area)",NCIRE,4.3,"Obtain, query, and manage large databases through appropriate data request workflows and computing environments.",San+Francisco,data analyst
Data Analyst,,"San Francisco Bay Area, CA",Opendoor,4.3,"Improve analytics quality and efficiency in collaboration with data scientists and data engineers.
As a data analyst at Opendoor, you will be part of our…",San+Francisco,data analyst
Social Health Data Analyst Ii,,"Oakland, CA+3 locations",Kaiser Permanente,4.1,"Given analytical project or task data requirements, works independently to access and validated needed data from KP HealthConnect information systems (e.g.…",San+Francisco,data analyst
Product Data Analyst,,"San Francisco, CA 94108 (Financial District area)",Seasoned,4.5,"Experience analyzing data using SQL.
Maintain and assist in data model documentation, data dictionary, and other Data Governance documentation.",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA•Remote work available",BuildZoom,4.0,Dig into a data request from a Fortune 500 data partner to identify the volume of Solar Installation projects across several major cities.,San+Francisco,data analyst
Data Analyst,,"San Francisco, CA•Remote",Superpedestrian,3.7,"Build dashboards to facilitate data-driven decision making across the company.
Prepare data from different sources for analysis and make recommendations based…",San+Francisco,data analyst
,,"San Leandro, CA 94577",Alameda Health Consortium/Community Health Center...,,"Answer business questions using data.
Understand and validate data from multiple sources.
Conduct complex data manipulation programming and statistical analyses…",San+Francisco,data analyst
Data Analyst,,"San Francisco, CA",Frontapp,,"Build internal tools that support the analytical needs of functional data analysts.
Support internal data automation and enablement efforts in partnership with…",San+Francisco,data analyst
,,"San Francisco, CA 94110 (Mission area)",Mission Neighborhood Health Center,3.6,"1 year of systems support or analyst experience.
Supports the integrity of the EPIC data base by running duplicate record reports and merging duplicate records.",San+Francisco,data analyst
"Business Analyst, Hive Models",,"San Francisco, CA+1 location",Hive,,You have 1-3 years of work experience in a Product Management or Engineering role at a technology or technology consulting company.,San+Francisco,data analyst
Business Analyst,,"San Francisco, CA",Fantasy,3.9,"Map business processes to corresponding data flow, becoming an expert in the data, systems, and operational needs.
Craft experiences that people love.",San+Francisco,data analyst
Development & Data Analyst - Administrative Analyst/Speciali...,,"San Francisco Bay Area, CA",California State University,4.3,"Experience generating reports based on simple query data, ability to analyze data.
The work involves knowledge of and complex data entry in the fundraising…",San+Francisco,data analyst
Payments & Fraud Data Analyst,,"San Francisco Bay Area, CA","Zoom Video Communications, Inc.",4.0,"Experience manipulating large data sets in SQL or equivalent, and drawing relevant insights from data.
Provide overall payments data implementation expertise.",San+Francisco,data analyst
Machine Learning Engineer,,"San Francisco, CA+2 locations",Tinder,4.6,"Collaborate with a team of data scientists, engineers, and business partners to take an opportunity or problem from concept to scaled solution.",San+Francisco,data scientist
,,"San Francisco, CA",Facebook App,4.1,"Basic experience or basic understanding of machine learning, data mining, and natural language processing.
3+ years of experience in data analysis, data science…",San+Francisco,data scientist
Data Strategy Data Scientist,,"San Francisco, CA 94111 (Financial District/South Beach area)","Jefferies & Company, Inc.",3.7,"4+ years of experience within consulting, data research, data science or similar roles.
Interact with key data partners to communicate business cases, company…",San+Francisco,data scientist
Data Scientist,,"Foster City, CA+2 locations",Visa,3.9,"Extract and understand data to form an opinion on how to best help our clients and derive relevant insights.
Develop custom data models and algorithms to apply…",San+Francisco,data scientist
"Senior Data Scientist, Slack Connect",,"San Francisco, CA",Slack,3.8,"We are hiring an experienced data scientist for our Slack Connect product area.
Evangelize evidence-based decision making by partnering with key decision makers…",San+Francisco,data scientist
Data Scientist (Validations Team),,"San Francisco, CA 94107 (Financial District/South Beach area)",StreetLight Data,,"Applying proprietary machine-learning algorithms to location data from mobile phones, vehicle navigation devices and IoT, StreetLight sheds light on travel…",San+Francisco,data scientist
Data Scientist - Intermediate,,"San Francisco, CA 94103 (South Of Market area)+1 location",Bayer,4.1,"The position is within the science R&D team that leverages modeling, big data, and cloud computing to address scientific challenges in precision agriculture.",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA",Retool,5.0,"Develop key metrics and ensure observability via dashboards and other relevant tooling.
3+ years of experience working on analytics, ideally at a high growth…",San+Francisco,data scientist
Data Scientist,,"Emeryville, CA•Remote",Manifest Medex,3.5,"Brings a combination of 1) healthcare clinical/claims domain expertise, 2) database query capabilities and 3) data science/analytics expertise.",San+Francisco,data scientist
Bioinformatician,,"San Francisco, CA 94143 (Inner Sunset area)•Remote work available",University of California San Francisco,4.1,"This position focuses on analyzing scRNA seq, metagenomic and human transcriptional data from microbial communities in human clinical samples using high…",San+Francisco,data scientist
Data Scientist,,"San Francisco, CA",CyberCube,,"An incredible high performing team of insurance industry professionals, data scientists, and engineers who love working here.",San+Francisco,data scientist
Data Scientist - Activity,,"San Francisco, CA+1 location",Oura,,"Our vision is to create a fully personalized solution for monitoring and guiding users’ exercise levels to optimize their health, and your work will be a core…",San+Francisco,data scientist
